strategy,approach,ticker,test_year,horizon
S1_MeanRev,C,MTLR,2025,h5
S1_MeanRev,D,MTLR,2022,h1
S1_MeanRev,D,MTLR,2023,h22
S1_MeanRev,D,MTLR,2024,h1
S1_MeanRev,D,MTLR,2025,h1
S2_Bollinger,B,MTLR,2022,h1
S2_Bollinger,B,MTLR,2023,h22
S2_Bollinger,B,MTLR,2024,h22
S2_Bollinger,B,MTLR,2025,h5
S2_Bollinger,C,MTLR,2022,h5
S2_Bollinger,C,MTLR,2023,h22
S2_Bollinger,C,MTLR,2024,h22
S2_Bollinger,C,MTLR,2025,h22
S2_Bollinger,D,MTLR,2022,h1
S2_Bollinger,D,MTLR,2023,h22
S2_Bollinger,D,MTLR,2024,h1
S2_Bollinger,D,MTLR,2025,h1
S3_Donchian,B,MTLR,2022,h22
S3_Donchian,B,MTLR,2023,h5
S3_Donchian,B,MTLR,2024,h5
S3_Donchian,B,MTLR,2025,h5
S3_Donchian,C,MTLR,2023,h5
S3_Donchian,C,MTLR,2024,h1
S3_Donchian,C,MTLR,2025,h1
S3_Donchian,D,MTLR,2022,h1
S3_Donchian,D,MTLR,2023,h1
S3_Donchian,D,MTLR,2024,h1
S3_Donchian,D,MTLR,2025,h22
S4_Supertrend,B,MTLR,2022,h1
S4_Supertrend,B,MTLR,2023,h1
S4_Supertrend,B,MTLR,2024,h22
S4_Supertrend,B,MTLR,2025,h22
S4_Supertrend,C,MTLR,2024,h1
S4_Supertrend,C,MTLR,2025,h1
S4_Supertrend,D,MTLR,2022,h1
S4_Supertrend,D,MTLR,2023,h1
S4_Supertrend,D,MTLR,2024,h1
S4_Supertrend,D,MTLR,2025,h1
S5_PivotPoints,B,MTLR,2022,h1
S5_PivotPoints,B,MTLR,2023,h1
S5_PivotPoints,B,MTLR,2024,h1
S5_PivotPoints,B,MTLR,2025,h1
S5_PivotPoints,C,MTLR,2022,?
S5_PivotPoints,C,MTLR,2023,?
S5_PivotPoints,C,MTLR,2024,?
S5_PivotPoints,C,MTLR,2025,?
S5_PivotPoints,D,MTLR,2022,h5
S5_PivotPoints,D,MTLR,2023,h5
S5_PivotPoints,D,MTLR,2024,h5
S5_PivotPoints,D,MTLR,2025,h5
S6_VWAP,B,MTLR,2022,h1
S6_VWAP,B,MTLR,2023,h1
S6_VWAP,B,MTLR,2024,h1
S6_VWAP,B,MTLR,2025,h22
S6_VWAP,C,MTLR,2022,?
S6_VWAP,C,MTLR,2023,?
