time,open,high,low,close,Volume
2015-09-14T07:00:00+03:00,67807,68095,67734,67963,370931
2015-09-14T11:00:00+03:00,67963,68000,67540,67714,938241
2015-09-14T15:00:00+03:00,67717,67924,67110,67367,1474185
2015-09-14T19:00:00+03:00,69281,69467,69184,69303,124398
2015-09-14T23:00:00+03:00,69303,69488,69291,69465,21223
2015-09-15T07:00:00+03:00,69479,69619,68902,68924,406645
2015-09-15T11:00:00+03:00,68920,69140,68662,68724,1228581
2015-09-15T15:00:00+03:00,68724,68925,68375,68837,1523962
2015-09-15T19:00:00+03:00,68779,68820,68531,68628,322145
2015-09-15T23:00:00+03:00,68625,68753,68450,68537,100278
2015-09-16T07:00:00+03:00,68527,68527,67553,67556,789599
2015-09-16T11:00:00+03:00,67556,67845,67380,67676,1188320
2015-09-16T15:00:00+03:00,67673,67681,66726,66906,1965655
2015-09-16T19:00:00+03:00,66849,67303,66782,67230,395542
2015-09-16T23:00:00+03:00,67230,67244,67025,67132,45206
2015-09-17T07:00:00+03:00,67132,67370,66800,67328,577410
2015-09-17T11:00:00+03:00,67330,67794,67185,67690,1149887
2015-09-17T15:00:00+03:00,67691,68123,67472,68107,1225070
2015-09-17T19:00:00+03:00,68081,68125,66647,67260,1511043
2015-09-17T23:00:00+03:00,67258,68107,67140,68107,77571
2015-09-18T07:00:00+03:00,67200,67850,67120,67182,573373
2015-09-18T11:00:00+03:00,67182,67891,67013,67490,1791320
2015-09-18T15:00:00+03:00,67493,67874,67412,67802,1403698
2015-09-18T19:00:00+03:00,67773,68480,67637,68406,607120
2015-09-18T23:00:00+03:00,68409,68436,68225,68325,60726
2015-09-21T07:00:00+03:00,68199,68199,64750,67847,173663
2015-09-21T11:00:00+03:00,68325,69260,67400,67481,997262
2015-09-21T15:00:00+03:00,67480,68100,67404,68019,1068015
2015-09-21T19:00:00+03:00,67998,68000,67732,67800,341293
2015-09-21T23:00:00+03:00,67800,67894,67754,67754,43989
2015-09-22T07:00:00+03:00,67802,68030,67802,67983,332603
2015-09-22T11:00:00+03:00,67986,68160,67855,68129,809975
2015-09-22T15:00:00+03:00,68125,68543,68017,68173,1344142
2015-09-22T19:00:00+03:00,68152,68239,67786,67836,427814
2015-09-22T23:00:00+03:00,67833,67897,67700,67753,113247
2015-09-23T07:00:00+03:00,67768,68099,67523,67600,643863
2015-09-23T11:00:00+03:00,67597,67886,67513,67707,977488
2015-09-23T15:00:00+03:00,67708,67898,67160,67870,2025389
2015-09-23T19:00:00+03:00,67861,68283,67839,68229,675754
2015-09-23T23:00:00+03:00,68229,68238,68065,68170,47635
2015-09-24T07:00:00+03:00,68170,68470,67973,68280,587947
2015-09-24T11:00:00+03:00,68278,68430,68075,68335,1049912
2015-09-24T15:00:00+03:00,68335,68490,67997,68059,1689975
2015-09-24T19:00:00+03:00,68001,68066,67669,67745,443222
2015-09-24T23:00:00+03:00,67745,67825,67711,67780,43201
2015-09-25T07:00:00+03:00,67716,67716,67173,67229,561244
2015-09-25T11:00:00+03:00,67232,67333,66986,67217,1020166
2015-09-25T15:00:00+03:00,67213,67395,67015,67203,1194838
2015-09-25T19:00:00+03:00,67202,67279,67039,67145,264395
2015-09-25T23:00:00+03:00,67150,67188,67090,67123,36505
2015-09-28T07:00:00+03:00,67146,67383,66900,67238,467588
2015-09-28T11:00:00+03:00,67236,67336,67150,67285,725271
2015-09-28T15:00:00+03:00,67285,67408,66990,67220,928419
2015-09-28T19:00:00+03:00,67220,67799,67151,67682,492343
2015-09-28T23:00:00+03:00,67682,67771,67645,67666,43483
2015-09-29T07:00:00+03:00,67661,67960,67640,67915,443661
2015-09-29T11:00:00+03:00,67914,67939,67200,67329,964083
2015-09-29T15:00:00+03:00,67329,67505,66937,67029,1270441
2015-09-29T19:00:00+03:00,67055,67208,66956,67121,253171
2015-09-29T23:00:00+03:00,67116,67315,67099,67270,62316
2015-09-30T07:00:00+03:00,67268,67438,66900,67272,466088
2015-09-30T11:00:00+03:00,67273,67303,66728,66789,1028106
