2026-02-06 14:35:17 | INFO     | train_classical | Saved HAR predictions: /Users/nilysenok/Desktop/MOEX_ISS/moex_volatility/data/predictions/test_2019/har_h1.parquet
2026-02-06 14:35:17 | INFO     | train_classical | Saved GARCH predictions: /Users/nilysenok/Desktop/MOEX_ISS/moex_volatility/data/predictions/test_2019/garch_h1.parquet
2026-02-06 14:35:17 | INFO     | train_classical | 
--- Horizon 1 Summary ---
2026-02-06 14:35:17 | INFO     | train_classical | 
HAR Results (top 5):
2026-02-06 14:35:17 | INFO     | train_classical |   AFLT: RMSE=0.000171, R²=-0.0508, QLIKE=-7.6845
2026-02-06 14:35:17 | INFO     | train_classical |   ALRS: RMSE=0.000214, R²=0.0115, QLIKE=-7.6741
2026-02-06 14:35:17 | INFO     | train_classical |   HYDR: RMSE=0.000207, R²=0.0247, QLIKE=-7.8187
2026-02-06 14:35:17 | INFO     | train_classical |   IRAO: RMSE=0.000621, R²=0.0415, QLIKE=-7.1204
2026-02-06 14:35:17 | INFO     | train_classical |   LKOH: RMSE=0.000162, R²=-0.1813, QLIKE=-7.8149
2026-02-06 14:35:17 | INFO     | train_classical | 
GARCH Results (top 5):
2026-02-06 14:35:17 | INFO     | train_classical |   AFLT: RMSE=0.000176, R²=-0.1121, AIC=3854.836312691955
2026-02-06 14:35:17 | INFO     | train_classical |   ALRS: RMSE=0.000232, R²=-0.1627, AIC=3801.761725209357
2026-02-06 14:35:17 | INFO     | train_classical |   HYDR: RMSE=0.000217, R²=-0.0668, AIC=3807.063457232252
2026-02-06 14:35:17 | INFO     | train_classical |   IRAO: RMSE=0.000636, R²=-0.0041, AIC=3747.0296142197826
2026-02-06 14:35:17 | INFO     | train_classical |   LKOH: RMSE=0.000208, R²=-0.9151, AIC=3316.0164911305146
2026-02-06 14:35:17 | INFO     | train_classical | 
==================================================
2026-02-06 14:35:17 | INFO     | train_classical | Horizon: 5 days
2026-02-06 14:35:17 | INFO     | train_classical | ==================================================
2026-02-06 14:35:17 | INFO     | train_classical | 
--- Training HAR models ---
2026-02-06 14:35:17 | INFO     | train_classical | HAR: Trained 17/17 tickers
2026-02-06 14:35:17 | INFO     | train_classical | 
--- Training GARCH-GJR models ---
2026-02-06 14:35:17 | WARNING  | train_classical | GARCH forecast failed for AFLT: Analytic forecasts not available for horizon > 1
