sharpe,ann_ret_pct,max_dd_pct,exposure_pct,n_trades,year,approach,strategy,timeframe,ticker,sigma_variant
0.0,0.0,0.0,0.0,0,2022,C,S1_MeanRev,hourly,LSRG,v1_sqrt9
0.718,0.77,-0.65,0.22,2,2023,C,S1_MeanRev,hourly,LSRG,v1_sqrt9
1.507,0.62,-0.07,0.17,2,2024,C,S1_MeanRev,hourly,LSRG,v1_sqrt9
0.0,0.0,0.0,0.0,0,2025,C,S1_MeanRev,hourly,LSRG,v1_sqrt9
-1.1481,-0.63,-0.58,0.05,1,2022,D,S1_MeanRev,hourly,LSRG,v1_sqrt9
0.6485,0.66,-0.67,0.22,2,2023,D,S1_MeanRev,hourly,LSRG,v1_sqrt9
0.5426,0.96,-0.78,0.96,4,2024,D,S1_MeanRev,hourly,LSRG,v1_sqrt9
0.3923,0.4,-0.81,0.57,3,2025,D,S1_MeanRev,hourly,LSRG,v1_sqrt9
0.0,0.0,0.0,0.0,0,2022,E,S1_MeanRev,hourly,LSRG,v1_sqrt9
1.3703,1.35,-0.07,0.13,2,2023,E,S1_MeanRev,hourly,LSRG,v1_sqrt9
1.507,0.62,-0.07,0.17,2,2024,E,S1_MeanRev,hourly,LSRG,v1_sqrt9
0.0,0.0,0.0,0.0,0,2025,E,S1_MeanRev,hourly,LSRG,v1_sqrt9
0.0,0.0,0.0,0.0,0,2022,F,S1_MeanRev,hourly,LSRG,v1_sqrt9
0.6485,0.66,-0.67,0.22,2,2023,F,S1_MeanRev,hourly,LSRG,v1_sqrt9
1.5073,0.39,-0.05,0.17,2,2024,F,S1_MeanRev,hourly,LSRG,v1_sqrt9
0.0,0.0,0.0,0.0,0,2025,F,S1_MeanRev,hourly,LSRG,v1_sqrt9
0.0,0.0,0.0,0.0,0,2022,G,S1_MeanRev,hourly,LSRG,v1_sqrt9
1.3589,1.25,-0.07,0.13,2,2023,G,S1_MeanRev,hourly,LSRG,v1_sqrt9
1.5073,0.39,-0.05,0.17,2,2024,G,S1_MeanRev,hourly,LSRG,v1_sqrt9
0.0,0.0,0.0,0.0,0,2025,G,S1_MeanRev,hourly,LSRG,v1_sqrt9
-1.1481,-0.82,-0.75,0.05,1,2022,B,S1_MeanRev,hourly,LSRG,v2_sqrtN
1.3703,1.35,-0.07,0.13,2,2023,B,S1_MeanRev,hourly,LSRG,v2_sqrtN
0.4885,1.53,-1.47,1.13,4,2024,B,S1_MeanRev,hourly,LSRG,v2_sqrtN
0.5596,0.6,-0.69,0.65,3,2025,B,S1_MeanRev,hourly,LSRG,v2_sqrtN
0.0,0.0,0.0,0.0,0,2022,C,S1_MeanRev,hourly,LSRG,v2_sqrtN
0.718,0.77,-0.65,0.22,2,2023,C,S1_MeanRev,hourly,LSRG,v2_sqrtN
1.507,0.62,-0.07,0.17,2,2024,C,S1_MeanRev,hourly,LSRG,v2_sqrtN
0.0,0.0,0.0,0.0,0,2025,C,S1_MeanRev,hourly,LSRG,v2_sqrtN
-1.1481,-0.63,-0.58,0.05,1,2022,D,S1_MeanRev,hourly,LSRG,v2_sqrtN
0.6485,0.66,-0.67,0.22,2,2023,D,S1_MeanRev,hourly,LSRG,v2_sqrtN
0.5426,0.96,-0.78,0.96,4,2024,D,S1_MeanRev,hourly,LSRG,v2_sqrtN
0.3923,0.4,-0.81,0.57,3,2025,D,S1_MeanRev,hourly,LSRG,v2_sqrtN
0.0,0.0,0.0,0.0,0,2022,E,S1_MeanRev,hourly,LSRG,v2_sqrtN
1.3703,1.35,-0.07,0.13,2,2023,E,S1_MeanRev,hourly,LSRG,v2_sqrtN
1.507,0.62,-0.07,0.17,2,2024,E,S1_MeanRev,hourly,LSRG,v2_sqrtN
0.0,0.0,0.0,0.0,0,2025,E,S1_MeanRev,hourly,LSRG,v2_sqrtN
0.0,0.0,0.0,0.0,0,2022,F,S1_MeanRev,hourly,LSRG,v2_sqrtN
0.6485,0.66,-0.67,0.22,2,2023,F,S1_MeanRev,hourly,LSRG,v2_sqrtN
1.5073,0.39,-0.05,0.17,2,2024,F,S1_MeanRev,hourly,LSRG,v2_sqrtN
0.0,0.0,0.0,0.0,0,2025,F,S1_MeanRev,hourly,LSRG,v2_sqrtN
0.0,0.0,0.0,0.0,0,2022,G,S1_MeanRev,hourly,LSRG,v2_sqrtN
1.3589,1.25,-0.07,0.13,2,2023,G,S1_MeanRev,hourly,LSRG,v2_sqrtN
1.5073,0.39,-0.05,0.17,2,2024,G,S1_MeanRev,hourly,LSRG,v2_sqrtN
0.0,0.0,0.0,0.0,0,2025,G,S1_MeanRev,hourly,LSRG,v2_sqrtN
-1.1481,-0.82,-0.75,0.05,1,2022,B,S1_MeanRev,hourly,LSRG,v3_div9
1.3703,1.35,-0.07,0.13,2,2023,B,S1_MeanRev,hourly,LSRG,v3_div9
-0.9622,-1.45,-1.57,0.39,4,2024,B,S1_MeanRev,hourly,LSRG,v3_div9
0.1021,0.09,-0.76,0.47,3,2025,B,S1_MeanRev,hourly,LSRG,v3_div9
0.0,0.0,0.0,0.0,0,2022,C,S1_MeanRev,hourly,LSRG,v3_div9
0.718,0.77,-0.65,0.22,2,2023,C,S1_MeanRev,hourly,LSRG,v3_div9
1.507,0.62,-0.07,0.17,2,2024,C,S1_MeanRev,hourly,LSRG,v3_div9
0.0,0.0,0.0,0.0,0,2025,C,S1_MeanRev,hourly,LSRG,v3_div9
-1.1481,-0.63,-0.58,0.05,1,2022,D,S1_MeanRev,hourly,LSRG,v3_div9
0.6485,0.66,-0.67,0.22,2,2023,D,S1_MeanRev,hourly,LSRG,v3_div9
0.5426,0.96,-0.78,0.96,4,2024,D,S1_MeanRev,hourly,LSRG,v3_div9
0.3923,0.4,-0.81,0.57,3,2025,D,S1_MeanRev,hourly,LSRG,v3_div9
0.0,0.0,0.0,0.0,0,2022,E,S1_MeanRev,hourly,LSRG,v3_div9
1.3703,1.35,-0.07,0.13,2,2023,E,S1_MeanRev,hourly,LSRG,v3_div9
1.507,0.62,-0.07,0.17,2,2024,E,S1_MeanRev,hourly,LSRG,v3_div9
0.0,0.0,0.0,0.0,0,2025,E,S1_MeanRev,hourly,LSRG,v3_div9
0.0,0.0,0.0,0.0,0,2022,F,S1_MeanRev,hourly,LSRG,v3_div9
0.6485,0.66,-0.67,0.22,2,2023,F,S1_MeanRev,hourly,LSRG,v3_div9
1.5073,0.39,-0.05,0.17,2,2024,F,S1_MeanRev,hourly,LSRG,v3_div9
0.0,0.0,0.0,0.0,0,2025,F,S1_MeanRev,hourly,LSRG,v3_div9
0.0,0.0,0.0,0.0,0,2022,G,S1_MeanRev,hourly,LSRG,v3_div9
1.3589,1.25,-0.07,0.13,2,2023,G,S1_MeanRev,hourly,LSRG,v3_div9
1.5073,0.39,-0.05,0.17,2,2024,G,S1_MeanRev,hourly,LSRG,v3_div9
0.0,0.0,0.0,0.0,0,2025,G,S1_MeanRev,hourly,LSRG,v3_div9
-1.1481,-0.82,-0.75,0.05,1,2022,B,S1_MeanRev,hourly,LSRG,v4_realized
1.3703,1.35,-0.07,0.13,2,2023,B,S1_MeanRev,hourly,LSRG,v4_realized
-0.1989,-0.31,-1.47,0.35,4,2024,B,S1_MeanRev,hourly,LSRG,v4_realized
0.5596,0.6,-0.69,0.65,3,2025,B,S1_MeanRev,hourly,LSRG,v4_realized
0.0,0.0,0.0,0.0,0,2022,C,S1_MeanRev,hourly,LSRG,v4_realized
0.8813,0.56,-0.07,0.04,1,2023,C,S1_MeanRev,hourly,LSRG,v4_realized
0.8495,2.06,-1.12,0.83,3,2024,C,S1_MeanRev,hourly,LSRG,v4_realized
0.5008,0.48,-0.69,0.57,3,2025,C,S1_MeanRev,hourly,LSRG,v4_realized
-1.1481,-0.49,-0.45,0.05,1,2022,D,S1_MeanRev,hourly,LSRG,v4_realized
0.718,0.61,-0.52,0.22,2,2023,D,S1_MeanRev,hourly,LSRG,v4_realized
0.412,0.92,-1.18,0.96,4,2024,D,S1_MeanRev,hourly,LSRG,v4_realized
0.5008,1.44,-2.07,0.57,3,2025,D,S1_MeanRev,hourly,LSRG,v4_realized
0.0,0.0,0.0,0.0,0,2022,E,S1_MeanRev,hourly,LSRG,v4_realized
0.8813,0.56,-0.07,0.04,1,2023,E,S1_MeanRev,hourly,LSRG,v4_realized
0.8116,0.6,-0.21,0.22,3,2024,E,S1_MeanRev,hourly,LSRG,v4_realized
0.5596,0.6,-0.69,0.65,3,2025,E,S1_MeanRev,hourly,LSRG,v4_realized
0.0,0.0,0.0,0.0,0,2022,F,S1_MeanRev,hourly,LSRG,v4_realized
0.8813,0.45,-0.06,0.04,1,2023,F,S1_MeanRev,hourly,LSRG,v4_realized
0.8495,1.65,-0.9,0.83,3,2024,F,S1_MeanRev,hourly,LSRG,v4_realized
